time_sice_start,bme_temp,bme_alt,uv,ism_temp,acc_x,acc_y,acc_z,gps_time,latitude,logitude,gps_alt,speed,sats
4805970,-7.79,6127.08,277,23.03,-0.52,-0.36,10.14,11:51:36,33.708168,-114.020874,6323,18.13,16
4806971,-7.82,6138.22,289,22.98,0.11,-0.2,10.15,11:51:37,33.708241,-114.020866,6328.7,18.12,16
4807972,-7.92,6144.03,255,22.95,-0.12,0.06,10.07,11:51:38,33.708309,-114.020866,6334.4,17.67,16
4808973,-8.01,6149.68,250,22.95,-0.42,-0.56,10.05,11:51:39,33.708385,-114.020851,6340.2,17.67,16
4809974,-8.07,6155.66,274,22.95,-0.17,-0.12,10.19,11:51:40,33.708454,-114.020851,6346,17.59,16
4810975,-8.13,6161.01,270,22.94,-0.29,-0.05,10.06,11:51:41,33.708527,-114.020851,6351.8,17.02,16
4811976,-8.18,6166.83,280,22.92,-0.26,-0.04,10.05,11:51:42,33.708591,-114.020836,6357.6,16.99,16
4812977,-8.23,6172.03,292,22.85,-0.25,-0.18,10.12,11:51:43,33.708664,-114.020836,6363.4,17.02,16
4813978,-8.29,6176.92,298,22.86,-0.24,0.11,10.13,11:51:44,33.708729,-114.020836,6369.3,16.99,16
4814979,-8.37,6182.91,258,22.89,-0.32,-0.16,10,11:51:45,33.708797,-114.020836,6375.2,16.79,16
4815980,-8.47,6188.91,247,22.81,-0.22,-0.16,10.06,11:51:46,33.708866,-114.020836,6381,16.78,16
4816981,-8.54,6194.91,250,22.86,-0.43,-0.39,10.18,11:51:47,33.708935,-114.020836,6386.9,16.33,16
4817982,-8.59,6192.22,294,22.84,-0.51,-0.26,10.12,11:51:48,33.708996,-114.020828,6392.8,15.6,16
4818983,-8.38,6172.03,291,22.8,-0.1,-0.36,10.14,11:51:49,33.709061,-114.020828,6398.6,15.02,16
4819984,-8.06,6182.75,299,22.82,-0.3,-0.16,10.16,11:51:50,33.709118,-114.020813,6404.5,14.59,16
4820985,-8.21,6208.98,291,22.75,-0.16,-0.32,10.04,11:51:51,33.709175,-114.020798,6410.2,14.28,16
4821986,-8.35,6218.16,286,22.79,-0.11,-0.32,10,11:51:52,33.709229,-114.02079,6416.1,14.09,16
4822987,-8.49,6226.72,288,22.77,-0.13,-0.22,10.04,11:51:53,33.709286,-114.020775,6422,14.38,16
4823988,-8.69,6234.17,249,22.73,-0.22,-0.09,9.93,11:51:54,33.709343,-114.020775,6427.8,14.45,16
4824989,-8.85,6239.88,279,22.7,-0.55,-0.23,9.95,11:51:55,33.709404,-114.02076,6433.6,14.38,16
4825990,-8.98,6245.76,306,22.7,-0.58,-0.45,10.05,11:51:56,33.709457,-114.020752,6439.4,14.09,16
4826991,-9.07,6252.12,235,22.7,-0.4,-0.2,10.05,11:51:57,33.709515,-114.020737,6445.2,13.66,16
