time_since_start,bme_temp,bme_alt,uv,ism_temp,acc_x,acc_y,acc_z,gps_time,latitude,longitude,gps_alt,speed,sats
15917070,29.61,1059.48,33,18.46,-8.46,4.19,2.77,2:56:46,34.219379N,-112.948662W,1118.10,0.02,16
15918071,29.61,1059.39,34,18.43,-8.52,4.18,2.81,2:56:47,34.219379N,-112.948662W,1118.10,0.01,16
15919072,29.61,1059.48,24,18.48,-8.55,4.13,2.72,2:56:48,34.219379N,-112.948662W,1118.10,0.00,16
15920073,29.60,1059.48,24,18.49,-8.43,4.18,2.77,2:56:49,34.219379N,-112.948662W,1118.10,0.02,16
15921074,29.59,1059.39,24,18.43,-8.46,4.08,2.68,2:56:50,34.219379N,-112.948662W,1118.10,0.01,15
15922075,29.58,1059.39,35,18.47,-8.63,4.02,2.79,2:56:51,34.219379N,-112.948662W,1118.10,0.02,16
15923076,29.57,1059.39,34,18.48,-8.49,4.20,2.78,2:56:52,34.219379N,-112.948662W,1118.10,0.02,16
15924077,29.56,1059.39,25,18.42,-8.71,4.05,2.85,2:56:53,34.219379N,-112.948662W,1118.10,0.02,15
15925078,29.56,1059.30,33,18.50,-8.44,4.29,2.68,2:56:54,34.219379N,-112.948662W,1118.10,0.02,16
15926079,29.55,1059.30,39,18.46,-8.39,4.32,2.85,2:56:55,34.219379N,-112.948662W,1118.10,0.01,16
15927080,29.55,1059.21,30,18.47,-8.39,4.22,2.72,2:56:56,34.219379N,-112.948662W,1118.10,0.02,16
15928081,29.54,1059.30,31,18.42,-8.50,4.37,2.78,2:56:57,34.219379N,-112.948662W,1118.10,0.01,16
15929082,29.51,1059.30,35,18.45,-8.82,4.36,2.77,2:56:58,34.219379N,-112.948662W,1118.10,0.02,16
15930083,29.49,1059.39,23,18.45,-8.59,4.18,2.66,2:56:59,34.219379N,-112.948662W,1118.10,0.02,16
15931084,29.45,1059.39,31,18.49,-8.62,3.99,2.79,2:57:0,34.219379N,-112.948662W,1118.10,0.01,16
15932085,29.43,1059.30,40,18.50,-8.37,4.42,2.68,2:57:1,34.219379N,-112.948662W,1118.10,0.03,16
15933086,29.40,1059.48,26,18.46,-8.30,4.16,2.69,2:57:2,34.219379N,-112.948662W,1118.10,0.02,15
15934087,29.35,1059.39,25,18.46,-8.21,4.34,2.97,2:57:3,34.219379N,-112.948662W,1118.10,0.03,16
15935088,29.29,1059.39,34,18.52,-8.50,4.27,2.62,2:57:4,34.219379N,-112.948662W,1118.10,0.02,16
15936089,29.26,1059.39,42,18.52,-8.55,4.31,2.83,2:57:5,34.219379N,-112.948662W,1118.10,0.01,16
15937090,29.23,1059.39,47,18.49,-8.47,4.20,2.76,2:57:6,34.219379N,-112.948662W,1118.10,0.01,16
15938091,29.20,1059.39,42,18.46,-8.44,4.20,2.76,2:57:7,34.219379N,-112.948662W,1118.10,0.03,16
15939092,29.18,1059.39,25,18.51,-8.55,4.15,2.73,2:57:8,34.219379N,-112.948662W,1118.10,0.00,16
15940093,29.16,1059.48,48,18.53,-8.42,4.18,2.76,2:57:9,34.219379N,-112.948662W,1118.10,0.02,16
15941094,29.15,1059.48,39,18.55,-8.48,4.21,2.77,2:57:10,34.219379N,-112.948662W,1118.10,0.01,16
15942095,29.13,1059.48,35,18.52,-8.38,4.32,2.75,2:57:11,34.219379N,-112.948662W,1118.10,0.02,16
15943096,29.11,1059.58,40,18.51,-8.54,4.22,2.79,2:57:12,34.219379N,-112.948662W,1118.10,0.02,16
15944097,29.08,1059.58,36,18.52,-8.45,4.23,2.72,2:57:13,34.219379N,-112.948662W,1118.10,0.01,16
15945098,29.06,1059.58,42,18.50,-8.41,4.12,2.73,2:57:14,34.219379N,-112.948662W,1118.10,0.02,16
15946099,29.03,1059.58,34,18.53,-8.46,4.25,2.74,2:57:15,34.219379N,-112.948662W,1118.10,0.02,16
15947100,29.01,1059.58,42,18.50,-8.48,4.18,2.78,2:57:16,34.219379N,-112.948662W,1118.10,0.01,16
15948101,29.00,1059.48,35,18.53,-8.47,4.16,2.75,2:57:17,34.219379N,-112.948662W,1118.10,0.01,16
15949102,28.98,1059.58,29,18.52,-8.41,4.19,2.78,2:57:18,34.219379N,-112.948662W,1118.10,0.02,16
15950103,28.97,1059.67,28,18.54,-8.45,4.23,2.71,2:57:19,34.219379N,-112.948662W,1118.10,0.02,16
15951104,28.96,1059.58,42,18.54,-8.42,4.34,2.81,2:57:20,34.219379N,-112.948662W,1118.10,0.02,16
15952105,28.94,1059.58,33,18.55,-8.43,4.16,2.78,2:57:21,34.219379N,-112.948662W,1118.10,0.01,16
15953106,28.93,1059.58,29,18.53,-8.48,4.13,2.77,2:57:22,34.219379N,-112.948662W,1118.10,0.01,16
15954107,28.92,1059.58,36,18.55,-8.44,4.11,2.79,2:57:23,34.219379N,-112.948662W,1118.10,0.02,16
15955108,28.91,1059.67,45,18.55,-8.38,4.19,2.77,2:57:24,34.219379N,-112.948662W,1118.10,0.02,16
15956109,28.91,1059.67,42,18.55,-8.46,4.36,2.78,2:57:25,34.219379N,-112.948662W,1118.10,0.02,16
15957110,28.89,1059.67,39,18.57,-8.46,4.30,2.76,2:57:26,34.219379N,-112.948662W,1118.10,0.02,16
15958111,28.90,1059.58,44,18.55,-8.48,4.18,2.77,2:57:27,34.219379N,-112.948662W,1118.10,0.00,16
15959112,28.90,1059.58,40,18.57,-8.45,4.17,2.76,2:57:28,34.219379N,-112.948662W,1118.10,0.02,16
15960113,28.90,1059.58,39,18.54,-8.49,4.12,2.76,2:57:29,34.219379N,-112.948662W,1118.10,0.01,16
15961114,28.88,1059.58,38,18.55,-8.47,4.11,2.76,2:57:30,34.219379N,-112.948662W,1118.10,0.00,16
15962115,28.88,1059.58,50,18.54,-8.46,4.18,2.79,2:57:31,34.219379N,-112.948662W,1118.10,0.02,16
15963116,28.89,1059.58,39,18.54,-8.43,4.16,2.76,2:57:32,34.219379N,-112.948662W,1118.10,0.01,16
15964117,28.89,1059.67,44,18.57,-8.35,4.15,2.78,2:57:33,34.219379N,-112.948662W,1118.10,0.01,16
15965118,28.89,1059.67,47,18.55,-8.32,4.25,2.75,2:57:34,34.219379N,-112.948662W,1118.00,0.00,16
15966119,28.89,1059.67,50,18.55,-8.32,4.26,2.75,2:57:35,34.219379N,-112.948662W,1118.00,0.01,16
15967120,28.89,1059.67,50,18.57,-8.40,4.23,2.80,2:57:36,34.219379N,-112.948662W,1118.00,0.01,16
15968121,28.89,1059.58,44,18.55,-8.38,4.16,2.76,2:57:37,34.219379N,-112.948662W,1118.00,0.01,16
15969122,28.89,1059.48,44,18.56,-8.45,4.13,2.76,2:57:38,34.219379N,-112.948662W,1118.00,0.01,16
15970123,28.89,1059.48,49,18.58,-8.48,4.19,2.79,2:57:39,34.219379N,-112.948662W,1118.00,0.01,16
15971124,28.90,1059.58,44,18.57,-8.45,4.14,2.75,2:57:40,34.219379N,-112.948662W,1118.00,0.02,16
15972125,28.90,1059.58,47,18.55,-8.50,4.14,2.79,2:57:41,34.219379N,-112.948662W,1118.00,0.01,16
15973126,28.91,1059.58,42,18.56,-8.45,4.14,2.77,2:57:42,34.219379N,-112.948662W,1118.00,0.01,16
15974127,28.91,1059.58,44,18.58,-8.49,4.13,2.77,2:57:43,34.219379N,-112.948662W,1118.00,0.01,16
15975128,28.91,1059.48,47,18.61,-8.48,4.18,2.76,2:57:44,34.219379N,-112.948662W,1118.00,0.02,16
15976129,28.91,1059.48,45,18.56,-8.47,4.18,2.78,2:57:45,34.219379N,-112.948662W,1118.00,0.01,16
15977130,28.92,1059.58,47,18.61,-8.42,4.30,2.77,2:57:46,34.219379N,-112.948662W,1118.00,0.01,16
15978131,28.93,1059.67,45,18.56,-8.49,4.24,2.79,2:57:47,34.219379N,-112.948662W,1118.00,0.01,16
15979132,28.93,1059.76,47,18.57,-8.50,4.13,2.77,2:57:48,34.219379N,-112.948662W,1118.00,0.01,16
15980133,28.92,1059.67,44,18.55,-8.52,4.13,2.78,2:57:49,34.219379N,-112.948662W,1118.00,0.01,16
15981134,28.92,1059.67,42,18.57,-8.48,4.12,2.77,2:57:50,34.219379N,-112.948662W,1118.00,0.01,16
15982135,28.92,1059.58,38,18.57,-8.48,4.13,2.79,2:57:51,34.219379N,-112.948662W,1118.00,0.00,16
15983136,28.93,1059.48,44,18.57,-8.47,4.13,2.77,2:57:52,34.219379N,-112.948662W,1118.00,0.01,16
15984137,28.94,1059.58,45,18.57,-8.46,4.16,2.77,2:57:53,34.219379N,-112.948662W,1118.00,0.01,16
15985138,28.95,1059.58,48,18.63,-8.51,4.16,2.79,2:57:54,34.219379N,-112.948662W,1118.00,0.01,16
15986139,28.95,1059.58,45,18.61,-8.41,4.25,2.76,2:57:55,34.219379N,-112.948662W,1118.00,0.01,16
15987140,28.95,1059.48,48,18.59,-8.48,4.16,2.80,2:57:56,34.219379N,-112.948662W,1118.00,0.01,16
15988141,28.95,1059.48,42,18.57,-8.49,4.18,2.74,2:57:57,34.219379N,-112.948662W,1118.00,0.01,16
15989142,28.96,1059.58,49,18.59,-8.50,4.15,2.79,2:57:58,34.219379N,-112.948662W,1118.00,0.01,16
