time_since_start,bme_temp,bme_alt,uv,ism_temp,acc_x,acc_y,acc_z,gps_time,latitude,longitude,gps_alt,speed,sats
19186,35.46,405.88,25,27.94,-3.26,7.82,5.66,10:31:50,33.664295,-114.007217,0,0.25,0
20187,35.51,406.4,26,27.96,-3.79,7.21,5.42,10:31:51,33.664299,-114.007217,465.2,0.2,7
21188,35.54,406.48,35,27.98,-2.9,7.22,6.01,10:31:52,33.664299,-114.007217,465.4,0.13,6
22189,35.56,406.4,19,27.94,-3.09,7.04,5.75,10:31:53,33.664307,-114.007217,468.6,0.09,9
23190,35.58,405.97,26,27.97,-2.74,7.47,5.66,10:31:54,33.664314,-114.007217,471.5,0.13,9
24191,35.59,405.79,18,27.99,-2.69,7.55,5.8,10:31:55,33.664322,-114.00721,474.1,0.06,8
30197,35.58,405.19,15,27.97,-2.41,7.49,6.07,10:32:01,33.664341,-114.007332,476.1,0.3,8
31198,35.62,405.1,15,28.01,-2.51,7.54,6.05,10:32:02,33.664356,-114.007362,467.5,0.45,9
32199,35.62,404.93,18,28,-2.46,7.47,6,10:32:03,33.664352,-114.007362,462.1,0.48,8
33200,35.59,404.75,15,28.03,-2.43,7.29,5.84,10:32:04,33.66436,-114.007362,459.5,0.4,8
34201,35.57,408.82,18,27.96,-2.34,7.19,6.07,10:32:05,33.664364,-114.00737,456.7,0.4,8
35202,35.57,411.85,18,28.04,-2.43,7.32,5.95,10:32:06,33.664364,-114.007385,454.1,0.44,9
36203,35.46,414.19,18,28.02,-2.65,7.2,6.09,10:32:07,33.664364,-114.007385,450,0.4,9
37204,35.34,415.93,19,28.05,-2.3,7.33,6.24,10:32:08,33.66436,-114.007401,448.3,0.33,9
38205,35.24,417.23,16,28.06,-2.68,7.17,6.18,10:32:09,33.664356,-114.007408,443.7,0.49,9
39206,35.13,418.35,18,28.02,-2.59,7.25,6.28,10:32:10,33.664379,-114.007401,450.1,0.53,13
40207,35.01,419.05,18,28.05,-2.71,7.12,6.45,10:32:11,33.664398,-114.007401,454.7,0.44,13
41208,34.94,419.65,18,28.03,-2.73,7.18,6.17,10:32:12,33.664402,-114.007385,455.8,0.4,13
42209,34.9,420.09,18,28.05,-2.99,7.16,6.41,10:32:13,33.664402,-114.007385,455.6,0.35,13
43210,34.87,416.45,23,28.04,-2.7,7.09,6.22,10:32:14,33.664406,-114.007385,457.3,0.52,13
44211,34.86,415.93,30,28,-3.13,7.12,5.41,10:32:15,33.664406,-114.007385,457.9,0.39,13
45212,34.9,415.41,70,28.07,-4.71,7.31,3.6,10:32:16,33.664406,-114.007385,457.7,0.31,13
46213,34.95,416.79,26,28.02,-5.46,7.94,2.56,10:32:17,33.664406,-114.007385,457.9,0.32,13
47214,34.95,417.92,25,28.04,-5.65,5.87,-0.14,10:32:18,33.664402,-114.007385,457.1,0.33,13
48215,34.92,418.7,24,28.03,-6.18,7.45,0.89,10:32:19,33.664402,-114.007385,456.3,0.37,13
49216,34.88,419.31,25,28.07,-6.36,7.22,0.51,10:32:20,33.664398,-114.007385,456.1,0.3,13
50217,34.82,419.83,21,28.05,-7.54,6.54,1.01,10:32:21,33.664394,-114.007385,455,0.39,13
51218,34.77,420.26,19,28.07,-7.3,6.16,1.07,10:32:22,33.664391,-114.007385,454.5,0.36,13
52219,34.72,420.52,19,28.07,-7.42,6.4,0.45,10:32:23,33.664387,-114.007385,453.6,0.38,13
53220,34.64,420.78,21,28.02,-7.21,6.03,0.25,10:32:24,33.664387,-114.007385,452.9,0.38,13
54221,34.52,421.04,20,28.06,-7.28,5.9,-0.38,10:32:25,33.664429,-114.007401,457.6,0.52,13
55222,34.39,421.13,23,28.02,-8.16,6.26,0.22,10:32:26,33.664455,-114.007408,460.2,0.4,13
56223,34.27,421.21,20,28.06,-8.57,5.57,-0.1,10:32:27,33.664482,-114.007408,462.8,0.49,13
