time_since_start,bme_temp,bme_alt,uv,ism_temp,acc_x,acc_y,acc_z,gps_time,latitude,longitude,gps_alt,speed,sats
17185,0.00,405.27,30,27.90,-3.59,6.78,5.84,
18185,35.47,406.57,24,27.93,-4.06,7.21,5.99,
19186,35.46,405.88,25,27.94,-3.26,7.82,5.66,10:31:50,33.664295N,-114.007217W,0.00,0.25,0
20187,35.51,406.40,26,27.96,-3.79,7.21,5.42,10:31:51,33.664299N,-114.007217W,465.20,0.20,7
21188,35.54,406.48,35,27.98,-2.90,7.22,6.01,10:31:52,33.664299N,-114.007217W,465.40,0.13,6
22189,35.56,406.40,19,27.94,-3.09,7.04,5.75,10:31:53,33.664307N,-114.007217W,468.60,0.09,9
23190,35.58,405.97,26,27.97,-2.74,7.47,5.66,10:31:54,33.664314N,-114.007217W,471.50,0.13,9
24191,35.59,405.79,18,27.99,-2.69,7.55,5.80,10:31:55,33.664322N,-114.007210W,474.10,0.06,8
25192,35.60,405.45,16,27.96,-2.65,7.47,5.83,
26193,35.58,405.36,16,27.99,-2.76,7.46,5.74,
27194,35.54,405.27,99,27.97,-2.65,7.48,5.79,
28195,35.53,405.01,16,28.00,-2.58,7.42,6.01,
29196,35.53,405.36,16,27.99,-2.63,7.40,6.02,
30197,35.58,405.19,15,27.97,-2.41,7.49,6.07,10:32:1,33.664341N,-114.007332W,476.10,0.30,8
31198,35.62,405.10,15,28.01,-2.51,7.54,6.05,10:32:2,33.664356N,-114.007362W,467.50,0.45,9
32199,35.62,404.93,18,28.00,-2.46,7.47,6.00,10:32:3,33.664352N,-114.007362W,462.10,0.48,8
33200,35.59,404.75,15,28.03,-2.43,7.29,5.84,10:32:4,33.664360N,-114.007362W,459.50,0.40,8
34201,35.57,408.82,18,27.96,-2.34,7.19,6.07,10:32:5,33.664364N,-114.007370W,456.70,0.40,8
35202,35.57,411.85,18,28.04,-2.43,7.32,5.95,10:32:6,33.664364N,-114.007385W,454.10,0.44,9
36203,35.46,414.19,18,28.02,-2.65,7.20,6.09,10:32:7,33.664364N,-114.007385W,450.00,0.40,9
37204,35.34,415.93,19,28.05,-2.30,7.33,6.24,10:32:8,33.664360N,-114.007401W,448.30,0.33,9
38205,35.24,417.23,16,28.06,-2.68,7.17,6.18,10:32:9,33.664356N,-114.007408W,443.70,0.49,9
39206,35.13,418.35,18,28.02,-2.59,7.25,6.28,10:32:10,33.664379N,-114.007401W,450.10,0.53,13
40207,35.01,419.05,18,28.05,-2.71,7.12,6.45,10:32:11,33.664398N,-114.007401W,454.70,0.44,13
41208,34.94,419.65,18,28.03,-2.73,7.18,6.17,10:32:12,33.664402N,-114.007385W,455.80,0.40,13
42209,34.90,420.09,18,28.05,-2.99,7.16,6.41,10:32:13,33.664402N,-114.007385W,455.60,0.35,13
43210,34.87,416.45,23,28.04,-2.70,7.09,6.22,10:32:14,33.664406N,-114.007385W,457.30,0.52,13
44211,34.86,415.93,30,28.00,-3.13,7.12,5.41,10:32:15,33.664406N,-114.007385W,457.90,0.39,13
45212,34.90,415.41,70,28.07,-4.71,7.31,3.60,10:32:16,33.664406N,-114.007385W,457.70,0.31,13
46213,34.95,416.79,26,28.02,-5.46,7.94,2.56,10:32:17,33.664406N,-114.007385W,457.90,0.32,13
47214,34.95,417.92,25,28.04,-5.65,5.87,-0.14,10:32:18,33.664402N,-114.007385W,457.10,0.33,13
48215,34.92,418.70,24,28.03,-6.18,7.45,0.89,10:32:19,33.664402N,-114.007385W,456.30,0.37,13
